Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,0.029992107340173633,0.0055248618784530384,0.994475138121547,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.13347698914986394
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,0.03050359712230216,0.007194244604316547,0.9928057553956835,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.11586584998074394
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,0.018819588136762242,0.0016750418760469012,0.998324958123953,0.0016750418760469012,0.0016750418760469012,0.0016750418760469012,0.11104630621834428
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm,0.026350874441220293,0.001607717041800643,0.9983922829581994,0.001607717041800643,0.001607717041800643,0.001607717041800643,0.15394938908280567
axios,https://www.npmjs.com/package/axios,https://github.com/axios/axios,npm,0.03292899408284024,0.005917159763313609,0.9970414201183432,0.0029585798816568047,0.005917159763313609,0.008875739644970414,0.12566942348264132
uuid,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,npm,0.031063829787234046,0.00425531914893617,0.9957446808510638,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.14161605803000288
semver,https://www.npmjs.com/package/semver,https://github.com/npm/node-semver,npm,0.02268743914313534,0.0038461538461538464,0.9961538461538462,0.0038461538461538464,0.0038461538461538464,0.007692307692307693,0.11243319563258272
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm,0.025217391304347823,0.004830917874396135,0.9975845410628019,0.004830917874396135,0.004830917874396135,0.00966183574879227,0.10758440006151428
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm,0.04028239202657807,0.003875968992248062,0.9961240310077519,0.003875968992248062,0.003875968992248062,0.003875968992248062,0.1847103275246225
express,https://www.npmjs.com/package/express,https://github.com/expressjs/express,npm,0.014196200737170398,0.0005670541536716756,0.9997164729231641,0.0002835270768358378,0.0005670541536716756,0.0008505812305075135,0.10387731963306747
typescript,https://www.npmjs.com/package/typescript,https://github.com/Microsoft/TypeScript,npm,0.07802699228791775,0.007390745501285347,0.9977506426735219,0.0038560411311053984,0.007390745501285347,0.03309768637532134,0.16901345542472065
react,https://www.npmjs.com/package/react,https://github.com/facebook/react,npm,0.05981610653138876,0.010145846544071021,0.9955611921369689,0.0057070386810399495,0.010145846544071021,0.0424857324032974,0.15836920445732516
dotenv,https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,npm,0.01957877294728121,0.0030959752321981426,0.9969040247678018,0.0030959752321981426,0.0030959752321981426,0.0030959752321981426,0.11765827477064059
inquirer,https://www.npmjs.com/package/inquirer,https://github.com/SBoudrias/Inquirer.js,npm,0.012922705314009662,0.0012077294685990338,0.998792270531401,0.0012077294685990338,0.0012077294685990338,0.0024154589371980675,0.09933903420260386
eslint,https://www.npmjs.com/package/eslint,https://github.com/eslint/eslint,npm,0.05541313559322033,0.01059322033898305,0.9947033898305084,0.006355932203389831,0.01059322033898305,0.036016949152542374,0.13824316472500342
body-parser,https://www.npmjs.com/package/body-parser,https://github.com/expressjs/body-parser,npm,0.04746646795827123,0.001639344262295082,0.9983606557377049,0.001639344262295082,0.001639344262295082,0.001639344262295082,0.2078669938334115
node-fetch,https://www.npmjs.com/package/node-fetch,https://github.com/node-fetch/node-fetch,npm,0.038925619834710726,0.008264462809917356,0.9917355371900827,0.008264462809917356,0.008264462809917356,0.01652892561983471,0.11624016152763422
js-yaml,https://www.npmjs.com/package/js-yaml,https://github.com/nodeca/js-yaml,npm,0.03169014084507042,0.0024752475247524753,0.9975247524752475,0.0024752475247524753,0.0024752475247524753,0.0024752475247524753,0.16217274810375382
commander,https://www.npmjs.com/package/commander,https://github.com/tj/commander.js,npm,0.021378446115288222,0.002506265664160401,0.9974937343358397,0.002506265664160401,0.002506265664160401,0.005012531328320802,0.10689007393217916
qs,https://www.npmjs.com/package/qs,https://github.com/ljharb/qs,npm,0.03216180371352785,0.005305039787798408,0.9973474801061007,0.002652519893899204,0.005305039787798408,0.010610079575596816,0.1406961721023967
react-dom,https://www.npmjs.com/package/react-dom,https://github.com/facebook/react,npm,0.05981610653138876,0.010145846544071021,0.9955611921369689,0.0057070386810399495,0.010145846544071021,0.0424857324032974,0.15836920445732516
lru-cache,https://www.npmjs.com/package/lru-cache,https://github.com/isaacs/node-lru-cache,npm,0.028250000000000004,0.0025,0.9975,0.0025,0.0025,0.0025,0.15561792152576773
minimatch,https://www.npmjs.com/package/minimatch,https://github.com/isaacs/minimatch,npm,0.04411347517730497,0.0035460992907801418,0.9964539007092199,0.0035460992907801418,0.0035460992907801418,0.0035460992907801418,0.19512977732394157
lodash,https://www.npmjs.com/package/lodash,https://github.com/lodash/lodash,npm,0.01128760529482551,0.00030084235860409147,0.9998495788206979,0.00030084235860409147,0.00030084235860409147,0.0007521058965102287,0.09948938427323048
tslib,https://www.npmjs.com/package/tslib,https://github.com/Microsoft/tslib,npm,0.09812409812409811,0.015873015873015872,0.9841269841269842,0.015873015873015872,0.015873015873015872,0.06349206349206349,0.19637547862861762
ajv,https://www.npmjs.com/package/ajv,https://github.com/ajv-validator/ajv,npm,0.011995540691192862,0.0011148272017837235,0.9994425863991081,0.0005574136008918618,0.0011148272017837235,0.0011148272017837235,0.09937408842127173
underscore,https://www.npmjs.com/package/underscore,https://github.com/jashkenas/underscore,npm,0.03022608695652174,0.0052173913043478265,0.9965217391304347,0.0034782608695652175,0.0052173913043478265,0.008695652173913044,0.11238652718802082
@types/node,https://www.npmjs.com/package/%40types%2Fnode,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,0.13100591715976329,0.06931530008453085,0.9568892645815723,0.05156382079459002,0.06931530008453085,0.1293322062552832,0.16821499636229909
jsonwebtoken,https://www.npmjs.com/package/jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,npm,0.03345406023637058,0.00819672131147541,0.9918032786885246,0.00819672131147541,0.00819672131147541,0.01639344262295082,0.11550199557087815
yargs,https://www.npmjs.com/package/yargs,https://github.com/yargs/yargs,npm,0.0270262390670554,0.008746355685131196,0.9970845481049563,0.0058309037900874635,0.008746355685131196,0.014577259475218658,0.10250859460456246
winston,https://www.npmjs.com/package/winston,https://github.com/winstonjs/winston,npm,0.020589353612167304,0.0038022813688212928,0.9980988593155894,0.0038022813688212928,0.0038022813688212928,0.0076045627376425855,0.10103415549628754
ms,https://www.npmjs.com/package/ms,https://github.com/vercel/ms,npm,0.08031400966183573,0.021739130434782608,0.9782608695652174,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.173672799374291
rxjs,https://www.npmjs.com/package/rxjs,https://github.com/reactivex/rxjs,npm,0.023981173864894796,0.0027685492801771874,0.9988925802879292,0.0016611295681063123,0.0027685492801771874,0.008305647840531562,0.10440479989696554
execa,https://www.npmjs.com/package/execa,https://github.com/sindresorhus/execa,npm,0.04328678839957035,0.005263157894736842,0.9947368421052631,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.16794463129719456
form-data,https://www.npmjs.com/package/form-data,https://github.com/form-data/form-data,npm,0.05228758169934641,0.010101010101010102,0.98989898989899,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.16778323095817357
mime,https://www.npmjs.com/package/mime,https://github.com/broofa/mime,npm,0.02898550724637681,0.005128205128205128,0.9948717948717949,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.14481566731239104
prop-types,https://www.npmjs.com/package/prop-types,https://github.com/facebook/prop-types,npm,0.09366391184573,0.030303030303030304,0.9696969696969697,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.19551467051161436
ejs,https://www.npmjs.com/package/ejs,https://github.com/mde/ejs,npm,0.01756554307116105,0.0018726591760299626,0.9990636704119851,0.0009363295880149813,0.0018726591760299626,0.003745318352059925,0.10179604755870147
iconv-lite,https://www.npmjs.com/package/iconv-lite,https://github.com/ashtuchkin/iconv-lite,npm,0.038188002473716766,0.00510204081632653,0.9948979591836735,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.1701041452623855
colors,https://www.npmjs.com/package/colors,https://github.com/Marak/colors.js,npm,0.06712328767123288,0.0136986301369863,0.9863013698630136,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.18298826826845527
open,https://www.npmjs.com/package/open,https://github.com/sindresorhus/open,npm,0.030692591997428884,0.007874015748031496,0.9921259842519685,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.14009124509430215
moment,https://www.npmjs.com/package/moment,https://github.com/moment/moment,npm,0.029475862068965516,0.006896551724137931,0.9958620689655172,0.005517241379310344,0.006896551724137931,0.009655172413793104,0.1270710427004695
jquery,https://www.npmjs.com/package/jquery,https://github.com/jquery/jquery,npm,0.03636990595611286,0.0018808777429467085,0.9993730407523511,0.0012539184952978057,0.0018808777429467085,0.006896551724137931,0.1184374141682919
mkdirp,https://www.npmjs.com/package/mkdirp,https://github.com/isaacs/node-mkdirp,npm,0.19041095890410958,0.0136986301369863,0.9863013698630136,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.3505056262496389
minimist,https://www.npmjs.com/package/minimist,https://github.com/minimistjs/minimist,npm,0.15306122448979592,0.04081632653061224,0.9795918367346939,0.02040816326530612,0.04081632653061224,0.061224489795918366,0.2921113307816252
path-to-regexp,https://www.npmjs.com/package/path-to-regexp,https://github.com/pillarjs/path-to-regexp,npm,0.042097998619737745,0.004830917874396135,0.9951690821256038,0.004830917874396135,0.004830917874396135,0.004830917874396135,0.18443488007291226
readable-stream,https://www.npmjs.com/package/readable-stream,https://github.com/nodejs/readable-stream,npm,0.07441471571906355,0.008695652173913044,0.991304347826087,0.008695652173913044,0.008695652173913044,0.017391304347826087,0.22005996420978224
cross-spawn,https://www.npmjs.com/package/cross-spawn,https://github.com/moxystudio/node-cross-spawn,npm,0.0634469696969697,0.005681818181818182,0.9943181818181818,0.005681818181818182,0.005681818181818182,0.011363636363636364,0.22718787873230248
xml2js,https://www.npmjs.com/package/xml2js,https://github.com/Leonidas-from-XIV/node-xml2js,npm,0.025275052036871845,0.0043859649122807015,0.9956140350877193,0.0043859649122807015,0.0043859649122807015,0.008771929824561403,0.128221458859548
ora,https://www.npmjs.com/package/ora,https://github.com/sindresorhus/ora,npm,0.031547619047619054,0.009523809523809525,0.9904761904761905,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.14132988179266387
resolve,https://www.npmjs.com/package/resolve,https://github.com/browserify/resolve,npm,0.02901918133280601,0.002570694087403599,0.9974293059125964,0.002570694087403599,0.002570694087403599,0.005141388174807198,0.1411734905775395
webpack,https://www.npmjs.com/package/webpack,https://github.com/webpack/webpack,npm,0.018451373781323017,0.002175489485134155,0.9989122552574329,0.0012690355329949238,0.002175489485134155,0.005257432922407542,0.10080698848212828
prettier,https://www.npmjs.com/package/prettier,https://github.com/prettier/prettier,npm,0.04420773714891363,0.002649708532061473,0.9989401165871754,0.001589825119236884,0.002649708532061473,0.011658717541070483,0.14227949269098944
