Name,Package URL,Github,ecosystem
rollup,https://www.npmjs.com/package/rollup,https://github.com/rollup/rollup,npm
marked,https://www.npmjs.com/package/marked,https://github.com/markedjs/marked,npm
ramda,https://www.npmjs.com/package/ramda,https://github.com/ramda/ramda,npm
react-router,https://www.npmjs.com/package/react-router,https://github.com/remix-run/react-router,npm
deepmerge,https://www.npmjs.com/package/deepmerge,https://github.com/TehShrike/deepmerge,npm
graphql,https://www.npmjs.com/package/graphql,https://github.com/graphql/graphql-js,npm
compression,https://www.npmjs.com/package/compression,https://github.com/expressjs/compression,npm
argparse,https://www.npmjs.com/package/argparse,https://github.com/nodeca/argparse,npm
core-js,https://www.npmjs.com/package/core-js,https://github.com/zloirock/core-js,npm
bootstrap,https://www.npmjs.com/package/bootstrap,https://github.com/twbs/bootstrap,npm
esprima,https://www.npmjs.com/package/esprima,https://github.com/jquery/esprima,npm
aws-sdk,https://www.npmjs.com/package/aws-sdk,https://github.com/aws/aws-sdk-js,npm
serve-static,https://www.npmjs.com/package/serve-static,https://github.com/expressjs/serve-static,npm
chokidar,https://www.npmjs.com/package/chokidar,https://github.com/paulmillr/chokidar,npm
source-map,https://www.npmjs.com/package/source-map,https://github.com/mozilla/source-map,npm
events,https://www.npmjs.com/package/events,https://github.com/Gozala/events,npm
mime-types,https://www.npmjs.com/package/mime-types,https://github.com/jshttp/mime-types,npm
ansi-styles,https://www.npmjs.com/package/ansi-styles,https://github.com/chalk/ansi-styles,npm
ini,https://www.npmjs.com/package/ini,https://github.com/npm/ini,npm
escape-string-regexp,https://www.npmjs.com/package/escape-string-regexp,https://github.com/sindresorhus/escape-string-regexp,npm
once,https://www.npmjs.com/package/once,https://github.com/isaacs/once,npm
mongodb,https://www.npmjs.com/package/mongodb,https://github.com/mongodb/node-mongodb-native,npm
date-fns,https://www.npmjs.com/package/date-fns,https://github.com/date-fns/date-fns,npm
through2,https://www.npmjs.com/package/through2,https://github.com/rvagg/through2,npm
react-router-dom,https://www.npmjs.com/package/react-router-dom,https://github.com/remix-run/react-router,npm
progress,https://www.npmjs.com/package/progress,https://github.com/visionmedia/node-progress,npm
find-up,https://www.npmjs.com/package/find-up,https://github.com/sindresorhus/find-up,npm
which,https://www.npmjs.com/package/which,https://github.com/npm/node-which,npm
@babel/core,https://www.npmjs.com/package/%40babel%2Fcore,https://github.com/babel/babel,npm
color-convert,https://www.npmjs.com/package/color-convert,https://github.com/Qix-/color-convert,npm
npm,https://www.npmjs.com/package/npm,https://github.com/npm/cli,npm
nanoid,https://www.npmjs.com/package/nanoid,https://github.com/ai/nanoid,npm
clone,https://www.npmjs.com/package/clone,https://github.com/pvorb/node-clone,npm
ts-node,https://www.npmjs.com/package/ts-node,https://github.com/TypeStrong/ts-node,npm
redux,https://www.npmjs.com/package/redux,https://github.com/reduxjs/redux,npm
yargs-parser,https://www.npmjs.com/package/yargs-parser,https://github.com/yargs/yargs-parser,npm
ip,https://www.npmjs.com/package/ip,https://github.com/indutny/node-ip,npm
react-redux,https://www.npmjs.com/package/react-redux,https://github.com/reduxjs/react-redux,npm
nodemon,https://www.npmjs.com/package/nodemon,https://github.com/remy/nodemon,npm
eventemitter3,https://www.npmjs.com/package/eventemitter3,https://github.com/primus/eventemitter3,npm
htmlparser2,https://www.npmjs.com/package/htmlparser2,https://github.com/fb55/htmlparser2,npm
extend,https://www.npmjs.com/package/extend,https://github.com/justmoon/node-extend,npm
@types/react,https://www.npmjs.com/package/%40types%2Freact,https://github.com/DefinitelyTyped/DefinitelyTyped,npm
q,https://www.npmjs.com/package/q,https://github.com/kriskowal/q,npm
crypto-js,https://www.npmjs.com/package/crypto-js,https://github.com/brix/crypto-js,npm
@babel/runtime,https://www.npmjs.com/package/%40babel%2Fruntime,https://github.com/babel/babel,npm
immutable,https://www.npmjs.com/package/immutable,https://github.com/immutable-js/immutable-js,npm
sprintf-js,https://www.npmjs.com/package/sprintf-js,https://github.com/alexei/sprintf.js,npm
safe-buffer,https://www.npmjs.com/package/safe-buffer,https://github.com/feross/safe-buffer,npm
sass-loader,https://www.npmjs.com/package/sass-loader,https://github.com/webpack-contrib/sass-loader,npm
tar,https://www.npmjs.com/package/tar,https://github.com/isaacs/node-tar,npm
merge-stream,https://www.npmjs.com/package/merge-stream,https://github.com/grncdr/merge-stream,npm
vue,https://www.npmjs.com/package/vue,https://github.com/vuejs/core,npm
cross-env,https://www.npmjs.com/package/cross-env,https://github.com/kentcdodds/cross-env,npm
autoprefixer,https://www.npmjs.com/package/autoprefixer,https://github.com/postcss/autoprefixer,npm
p-limit,https://www.npmjs.com/package/p-limit,https://github.com/sindresorhus/p-limit,npm
cosmiconfig,https://www.npmjs.com/package/cosmiconfig,https://github.com/cosmiconfig/cosmiconfig,npm
has-flag,https://www.npmjs.com/package/has-flag,https://github.com/sindresorhus/has-flag,npm
source-map-support,https://www.npmjs.com/package/source-map-support,https://github.com/evanw/node-source-map-support,npm
morgan,https://www.npmjs.com/package/morgan,https://github.com/expressjs/morgan,npm
through,https://www.npmjs.com/package/through,https://github.com/dominictarr/through,npm
xtend,https://www.npmjs.com/package/xtend,https://github.com/Raynos/xtend,npm
ansi-regex,https://www.npmjs.com/package/ansi-regex,https://github.com/chalk/ansi-regex,npm
whatwg-fetch,https://www.npmjs.com/package/whatwg-fetch,https://github.com/github/fetch,npm
estraverse,https://www.npmjs.com/package/estraverse,https://github.com/estools/estraverse,npm
babel-loader,https://www.npmjs.com/package/babel-loader,https://github.com/babel/babel-loader,npm
