Name,Package URL,Github,ecosystem,health_percentage,description,readme,code_of_conduct,contributing,license,pull_request_template,admin_accepts_content_report
postcss-import,https://www.npmjs.com/package/postcss-import,https://github.com/postcss/postcss-import,npm,37,true,true,false,false,true,false,false
glob-parent,https://www.npmjs.com/package/glob-parent,https://github.com/gulpjs/glob-parent,npm,62,true,true,false,false,true,false,false
supertest,https://www.npmjs.com/package/supertest,https://github.com/visionmedia/supertest,npm,87,true,true,true,true,true,true,false
@types/yargs,https://www.npmjs.com/package/%40types%2Fyargs,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,62,true,true,false,false,true,true,false
merge-descriptors,https://www.npmjs.com/package/merge-descriptors,https://github.com/component/merge-descriptors,npm,37,true,true,false,false,true,false,false
doctrine,https://www.npmjs.com/package/doctrine,https://github.com/eslint/doctrine,npm,75,true,true,true,true,true,false,false
zone.js,https://www.npmjs.com/package/zone.js,https://github.com/angular/angular,npm,87,true,true,true,true,true,true,false
webpack-sources,https://www.npmjs.com/package/webpack-sources,https://github.com/webpack/webpack-sources,npm,37,true,true,false,false,true,false,false
copy-webpack-plugin,https://www.npmjs.com/package/copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin,npm,62,true,true,false,true,true,true,false
browserify,https://www.npmjs.com/package/browserify,https://github.com/browserify/browserify,npm,62,true,true,true,false,true,false,false
caniuse-lite,https://www.npmjs.com/package/caniuse-lite,https://github.com/browserslist/caniuse-lite,npm,37,true,true,false,false,true,false,false
merge2,https://www.npmjs.com/package/merge2,https://github.com/teambition/merge2,npm,37,true,true,false,false,true,false,false
eslint-config-airbnb-base,https://www.npmjs.com/package/eslint-config-airbnb-base,https://github.com/airbnb/javascript,npm,62,true,true,true,false,true,false,false
hosted-git-info,https://www.npmjs.com/package/hosted-git-info,https://github.com/npm/hosted-git-info,npm,75,true,true,true,false,true,true,false
normalize-package-data,https://www.npmjs.com/package/normalize-package-data,https://github.com/npm/normalize-package-data,npm,75,true,true,true,false,true,true,false
bcrypt,https://www.npmjs.com/package/bcrypt,https://github.com/kelektiv/node.bcrypt.js,npm,50,true,true,false,false,true,false,false
interpret,https://www.npmjs.com/package/interpret,https://github.com/gulpjs/interpret,npm,62,true,true,false,false,true,false,false
to-regex-range,https://www.npmjs.com/package/to-regex-range,https://github.com/micromatch/to-regex-range,npm,75,true,true,true,true,true,false,false
