Name,Package URL,Github,Downloads
Pygments,https://pypi.org/project/Pygments/,https://github.com/pygments/pygments,61804929
websocket-client,https://pypi.org/project/websocket-client/,https://github.com/websocket-client/websocket-client/,61664515
beautifulsoup4,https://pypi.org/project/beautifulsoup4/,https://www.crummy.com/software/BeautifulSoup/bs4/,61394978
Pillow,https://pypi.org/project/Pillow/,https://github.com/python-pillow/Pillow,61154810
greenlet,https://pypi.org/project/greenlet/,https://github.com/python-greenlet/greenlet/,60863944
importlib-resources,https://pypi.org/project/importlib-resources/,https://github.com/python/importlib_resources,59991227
distlib,https://pypi.org/project/distlib/,https://github.com/pypa/distlib,59264122
yarl,https://pypi.org/project/yarl/,https://github.com/aio-libs/yarl/,57945762
multidict,https://pypi.org/project/multidict/,https://github.com/aio-libs/multidict,57877674
scipy,https://pypi.org/project/scipy/,https://github.com/scipy/scipy,57345627
decorator,https://pypi.org/project/decorator/,https://github.com/micheles/decorator,54420163
aiosignal,https://pypi.org/project/aiosignal/,https://github.com/aio-libs/aiosignal,53007855
aiofiles,https://pypi.org/project/aiofiles/,https://github.com/Tinche/aiofiles,52685636
et-xmlfile,https://pypi.org/project/et-xmlfile/,https://foss.heptapod.net/openpyxl/et_xmlfile,52654177
openpyxl,https://pypi.org/project/openpyxl/,https://foss.heptapod.net/openpyxl/openpyxl,52281442
google-cloud-storage,https://pypi.org/project/google-cloud-storage/,https://github.com/googleapis/python-storage,52129412
google-cloud-core,https://pypi.org/project/google-cloud-core/,https://github.com/googleapis/python-cloud-core,51233812
httptools,https://pypi.org/project/httptools/,https://github.com/MagicStack/httptools,50309830
chardet,https://pypi.org/project/chardet/,https://github.com/chardet/chardet,50217821
iniconfig,https://pypi.org/project/iniconfig/,https://github.com/pytest-dev/iniconfig,50211422
asn1crypto,https://pypi.org/project/asn1crypto/,https://github.com/wbond/asn1crypto,48861477
tomlkit,https://pypi.org/project/tomlkit/,https://github.com/sdispater/tomlkit,47509544
tabulate,https://pypi.org/project/tabulate/,https://github.com/astanin/python-tabulate,46454145
more-itertools,https://pypi.org/project/more-itertools/,https://github.com/more-itertools/more-itertools,46393172
requests-toolbelt,https://pypi.org/project/requests-toolbelt/,https://github.com/requests/toolbelt,45541225
google-resumable-media,https://pypi.org/project/google-resumable-media/,https://github.com/googleapis/google-resumable-media-python,45421427
paramiko,https://pypi.org/project/paramiko/,https://github.com/paramiko/paramiko,45321264
aioconsole,https://pypi.org/project/aioconsole/,https://github.com/vxgmichel/aioconsole,44940402
Deprecated,https://pypi.org/project/Deprecated/,https://github.com/tantale/deprecated,44868558
GitPython,https://pypi.org/project/GitPython/,https://github.com/gitpython-developers/GitPython,44636711
PyNaCl,https://pypi.org/project/PyNaCl/,https://github.com/pyca/pynacl/,43939390
google-api-python-client,https://pypi.org/project/google-api-python-client/,https://github.com/googleapis/google-api-python-client/,43557389
pymysql,https://pypi.org/project/pymysql/,https://github.com/PyMySQL/PyMySQL,42824826
psycopg2-binary,https://pypi.org/project/psycopg2-binary/,https://psycopg.org/,42196583
rpds-py,https://pypi.org/project/rpds-py/,https://github.com/crate-py/rpds,41994957
proto-plus,https://pypi.org/project/proto-plus/,https://github.com/googleapis/proto-plus-python.git,41979704
anyio,https://pypi.org/project/anyio/,https://github.com/agronholm/anyio,41817009
itsdangerous,https://pypi.org/project/itsdangerous/,https://github.com/pallets/itsdangerous/,41642727
msal,https://pypi.org/project/msal/,https://github.com/AzureAD/microsoft-authentication-library-for-python,41404852
referencing,https://pypi.org/project/referencing/,https://github.com/python-jsonschema/referencing,40424186
azure-storage-blob,https://pypi.org/project/azure-storage-blob/,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/storage/azure-storage-blob,40366469
jsonschema-specifications,https://pypi.org/project/jsonschema-specifications/,https://github.com/python-jsonschema/jsonschema-specifications,39912025
bcrypt,https://pypi.org/project/bcrypt/,https://github.com/pyca/bcrypt/,39197237
pathspec,https://pypi.org/project/pathspec/,https://github.com/cpburnz/python-pathspec,39159851
scikit-learn,https://pypi.org/project/scikit-learn/,https://github.com/scikit-learn/scikit-learn,39158449
smmap,https://pypi.org/project/smmap/,https://github.com/gitpython-developers/smmap,37744861
msgpack,https://pypi.org/project/msgpack/,https://msgpack.org/,37533140
matplotlib,https://pypi.org/project/matplotlib/,https://github.com/matplotlib/matplotlib,36911509
poetry-core,https://pypi.org/project/poetry-core/,https://github.com/python-poetry/poetry-core,35941336
keyring,https://pypi.org/project/keyring/,https://github.com/jaraco/keyring,35633133
joblib,https://pypi.org/project/joblib/,https://github.com/joblib/joblib,35406320
regex,https://pypi.org/project/regex/,https://github.com/mrabarnett/mrab-regex,35184588
mypy-extensions,https://pypi.org/project/mypy-extensions/,https://github.com/python/mypy_extensions,35018272
wcwidth,https://pypi.org/project/wcwidth/,https://github.com/jquast/wcwidth,34358119
docker,https://pypi.org/project/docker/,https://github.com/docker/docker-py,34319667
sniffio,https://pypi.org/project/sniffio/,https://github.com/python-trio/sniffio,34300402
google-auth-oauthlib,https://pypi.org/project/google-auth-oauthlib/,https://github.com/GoogleCloudPlatform/google-auth-library-python-oauthlib,34207912
kiwisolver,https://pypi.org/project/kiwisolver/,https://github.com/nucleic/kiwi,34063502
portalocker,https://pypi.org/project/portalocker/,https://github.com/wolph/portalocker/,33897355
pexpect,https://pypi.org/project/pexpect/,https://pexpect.readthedocs.io/,33853821
ptyprocess,https://pypi.org/project/ptyprocess/,https://github.com/pexpect/ptyprocess,33785913
jaraco.classes,https://pypi.org/project/jaraco.classes/,https://github.com/jaraco/jaraco.classes,33762175
dill,https://pypi.org/project/dill/,https://github.com/uqfoundation/dill,33729526
pydantic-core,https://pypi.org/project/pydantic-core/,https://github.com/pydantic/pydantic-core,33574898
pyrsistent,https://pypi.org/project/pyrsistent/,https://github.com/tobgu/pyrsistent/,33290202
grpcio-tools,https://pypi.org/project/grpcio-tools/,https://github.com/grpc/grpc/tree/master/tools/distrib/python/grpcio_tools,33233673
