Name,Package URL,Github,ecosystem,goodFirstIssue
validator,https://www.npmjs.com/package/validator,https://github.com/validatorjs/validator.js,npm,true
supports-color,https://www.npmjs.com/package/supports-color,https://github.com/chalk/supports-color,npm,false
graceful-fs,https://www.npmjs.com/package/graceful-fs,https://github.com/isaacs/node-graceful-fs,npm,false
babel-core,https://www.npmjs.com/package/babel-core,https://github.com/babel/babel,npm,true
rollup,https://www.npmjs.com/package/rollup,https://github.com/rollup/rollup,npm,false
marked,https://www.npmjs.com/package/marked,https://github.com/markedjs/marked,npm,true
ramda,https://www.npmjs.com/package/ramda,https://github.com/ramda/ramda,npm,false
react-router,https://www.npmjs.com/package/react-router,https://github.com/remix-run/react-router,npm,false
deepmerge,https://www.npmjs.com/package/deepmerge,https://github.com/TehShrike/deepmerge,npm,true
graphql,https://www.npmjs.com/package/graphql,https://github.com/graphql/graphql-js,npm,false
compression,https://www.npmjs.com/package/compression,https://github.com/expressjs/compression,npm,false
argparse,https://www.npmjs.com/package/argparse,https://github.com/nodeca/argparse,npm,false
core-js,https://www.npmjs.com/package/core-js,https://github.com/zloirock/core-js,npm,false
bootstrap,https://www.npmjs.com/package/bootstrap,https://github.com/twbs/bootstrap,npm,false
esprima,https://www.npmjs.com/package/esprima,https://github.com/jquery/esprima,npm,false
aws-sdk,https://www.npmjs.com/package/aws-sdk,https://github.com/aws/aws-sdk-js,npm,false
serve-static,https://www.npmjs.com/package/serve-static,https://github.com/expressjs/serve-static,npm,false
chokidar,https://www.npmjs.com/package/chokidar,https://github.com/paulmillr/chokidar,npm,false
source-map,https://www.npmjs.com/package/source-map,https://github.com/mozilla/source-map,npm,false
events,https://www.npmjs.com/package/events,https://github.com/Gozala/events,npm,false
mime-types,https://www.npmjs.com/package/mime-types,https://github.com/jshttp/mime-types,npm,false
ansi-styles,https://www.npmjs.com/package/ansi-styles,https://github.com/chalk/ansi-styles,npm,false
ini,https://www.npmjs.com/package/ini,https://github.com/npm/ini,npm,true
escape-string-regexp,https://www.npmjs.com/package/escape-string-regexp,https://github.com/sindresorhus/escape-string-regexp,npm,false
once,https://www.npmjs.com/package/once,https://github.com/isaacs/once,npm,false
mongodb,https://www.npmjs.com/package/mongodb,https://github.com/mongodb/node-mongodb-native,npm,false
date-fns,https://www.npmjs.com/package/date-fns,https://github.com/date-fns/date-fns,npm,true
through2,https://www.npmjs.com/package/through2,https://github.com/rvagg/through2,npm,false
react-router-dom,https://www.npmjs.com/package/react-router-dom,https://github.com/remix-run/react-router,npm,false
progress,https://www.npmjs.com/package/progress,https://github.com/visionmedia/node-progress,npm,false
find-up,https://www.npmjs.com/package/find-up,https://github.com/sindresorhus/find-up,npm,false
which,https://www.npmjs.com/package/which,https://github.com/npm/node-which,npm,true
