Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,5.4,1,174,1,1,2,23.585511731492357
commander,https://www.npmjs.com/package/commander,https://github.com/tj/commander.js,npm,8.44,1,389,1,1,2,41.81299319589546
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,4.24,1,138,1,1,1,16.105353147323406
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,11.357142857142858,1,596,1,1,2,66.67862562805459
lodash,https://www.npmjs.com/package/lodash,https://github.com/lodash/lodash,npm,0,0,0,0,0,0,0
axios,https://www.npmjs.com/package/axios,https://github.com/axios/axios,npm,0,0,0,0,0,0,0
yargs,https://www.npmjs.com/package/yargs,https://github.com/yargs/yargs,npm,8.43,2,342,2,2,5,34.33489624274406
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm,16.657894736842106,1,585,1,1,2,93.60057251168519
uuid,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,npm,7.25,1,233,1,1,1,33.05431136780798
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm,10.44,2,413,2,2,4,44.53994162546691
express,https://www.npmjs.com/package/express,https://github.com/expressjs/express,npm,50.06,2,3526,1,2,3,366.31633378816184
semver,https://www.npmjs.com/package/semver,https://github.com/npm/node-semver,npm,5.575,1,259,1,1,2,28.88804899954305
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm,10.333333333333334,1,246,1,1,1,46.41758925873459
mkdirp,https://www.npmjs.com/package/mkdirp,https://github.com/isaacs/node-mkdirp,npm,0,0,0,0,0,0,0
minimist,https://www.npmjs.com/package/minimist,https://github.com/minimistjs/minimist,npm,4.5625,2,39,1,2,2,9.512943485062864
react,https://www.npmjs.com/package/react,https://github.com/facebook/react,npm,92.73,15,1570,9,15,67,246.65452985907226
body-parser,https://www.npmjs.com/package/body-parser,https://github.com/expressjs/body-parser,npm,28.954545454545453,1,609,1,1,1,126.79886623838102
