Name,Package URL,Github, Downloads
redcarpet,https://github.com/vmg/redcarpet,https://github.com/vmg/redcarpet,78267780
little-plugger,http://gemcutter.org/gems/little-plugger,http://github.com/TwP/little-plugger,78211173
tins,https://github.com/flori/tins,https://github.com/flori/tins,78026000
aws-sdk-ecr,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ecr,78021160
aws-sdk-ecs,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-ecs,77842252
turbolinks-source,https://github.com/turbolinks/turbolinks-source-gem,https://github.com/turbolinks/turbolinks-source-gem,77430217
statsd-ruby,https://github.com/reinh/statsd,https://github.com/reinh/statsd,77291673
aws-sdk-autoscaling,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-autoscaling,76805556
bundler-audit,https://github.com/rubysec/bundler-audit#readme,https://github.com/postmodern/bundler-audit,76600148
rack-attack,https://github.com/rack/rack-attack,https://github.com/rack/rack-attack,76511059
libv8,http://github.com/rubyjs/libv8,http://github.com/rubyjs/libv8,76118883
ffi-compiler,http://wiki.github.com/ffi/ffi,http://wiki.github.com/ffi/ffi,76037170
cocoapods-core,https://github.com/CocoaPods/CocoaPods,https://github.com/CocoaPods/CocoaPods,75957290
guard-compat,N/A,N/A,75861887
money,https://rubymoney.github.io/money,https://github.com/RubyMoney/money/,75752587
guard-rspec,https://github.com/guard/guard-rspec,http://github.com/guard/guard-rspec,75183240
aws-sdk-elasticloadbalancingv2,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-elasticloadbalancingv2,74728531
activeresource,http://www.rubyonrails.org,https://github.com/rails/activeresource/tree/v6.0.0,74030743
atomos,https://github.com/segiddins/atomos,https://github.com/segiddins/atomos,73975806
rspec-its,https://github.com/rspec/rspec-its,https://github.com/rspec/rspec-its,73749112
will_paginate,https://github.com/mislav/will_paginate,https://github.com/mislav/will_paginate/tree/v4.0.0,73741648
encryptor,http://github.com/attr-encrypted/encryptor,http://github.com/attr-encrypted/encryptor,73435843
kramdown-parser-gfm,https://github.com/kramdown/parser-gfm,https://github.com/kramdown/parser-gfm,73378055
systemu,https://github.com/ahoward/systemu,https://github.com/ahoward/systemu,73368347
rchardet,https://github.com/jmhodges/rchardet,https://github.com/jmhodges/rchardet,73326083
aws-sdk-configservice,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-configservice,73211503
ruby-saml,https://github.com/saml-toolkits/ruby-saml,https://github.com/saml-toolkits/ruby-saml,73191569
unicode_utils,http://github.com/lang/unicode_utils,http://github.com/lang/unicode_utils,73189328
sanitize,https://github.com/rgrove/sanitize/,http://github.com/rgrove/sanitize/,72858740
bindex,https://github.com/gsamokovarov/bindex,https://github.com/gsamokovarov/bindex,72669174
dogapi,http://datadoghq.com/,https://github.com/DataDog/dogapi-rb,72621898
paper_trail,https://github.com/paper-trail-gem/paper_trail,http://github.com/airblade/paper_trail,72583331
redis-activesupport,http://redis-store.org/redis-activesupport,http://redis-store.org/redis-activesupport,72228936
gh_inspector,https://github.com/orta/gh_inspector,https://github.com/orta/gh_inspector,72182032
sdoc,https://github.com/zzak/sdoc,https://github.com/zzak/sdoc,72135041
webpacker,https://github.com/rails/webpacker,https://github.com/rails/webpacker/tree/v5.4.4,71956431
rails-i18n,https://github.com/svenfuchs/rails-i18n,http://github.com/svenfuchs/rails-i18n,71803507
aws-sdk-athena,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-athena,71714244
aws-sdk-redshift,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-redshift,71697818
httpi,http://github.com/savonrb/httpi,http://github.com/savonrb/httpi,71263193
paperclip,https://github.com/thoughtbot/paperclip,https://github.com/thoughtbot/paperclip,71263060
aws-sdk-glue,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-glue,70983022
bindata,https://github.com/dmendel/bindata,http://github.com/dmendel/bindata,70900654
liquid,http://www.liquidmarkup.org,https://github.com/Shopify/liquid,70891364
aws-sdk-cognitoidentityprovider,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cognitoidentityprovider,70873056
aws-sdk-apigateway,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-apigateway,70803583
aws-sdk-codecommit,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-codecommit,70597755
aws-sdk-elasticache,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-elasticache,70582312
ruby_dep,https://github.com/e2/ruby_dep,https://github.com/e2/ruby_dep,70225664
aws-sdk-elasticsearchservice,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-elasticsearchservice,69868845
uuidtools,https://github.com/sporkmonger/uuidtools,https://github.com/sporkmonger/uuidtools,69801479
better_errors,https://github.com/BetterErrors/better_errors,https://github.com/BetterErrors/better_errors,69584078
aws-sdk-rekognition,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-rekognition,69578470
aws-sdk-cloudtrail,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudtrail,69469403
dogstatsd-ruby,https://github.com/DataDog/dogstatsd-ruby,https://github.com/DataDog/dogstatsd-ruby/tree/v5.6.1,69149960
aws-sdk-pinpoint,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-pinpoint,69121056
aws-sdk-organizations,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-organizations,69030669
premailer,https://github.com/premailer/premailer,https://github.com/premailer/premailer,68941491
faraday-http-cache,https://github.com/sourcelevel/faraday-http-cache,https://github.com/plataformatec/faraday-http-cache,68905897
aws-sdk-databasemigrationservice,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-databasemigrationservice,68772332
aws-sdk-acm,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-acm,68722448
capistrano,https://capistranorb.com/,https://github.com/capistrano/capistrano,68559361
aws-sdk-emr,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-emr,68444479
aws-sdk-codedeploy,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-codedeploy,68196517
aws-sdk-xray,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-xray,68175307
aws-sdk-efs,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-efs,68159991
aws-sdk-sagemaker,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-sagemaker,67989402
aws-sdk-batch,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-batch,67978879
aws-sdk-iot,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-iot,67924470
aws-sdk-cloudwatchevents,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudwatchevents,67840292
aws-sdk-servicecatalog,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-servicecatalog,67658518
aws-sdk-codebuild,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-codebuild,67656182
aws-sdk-states,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-states,67622560
omniauth-google-oauth2,https://github.com/zquestz/omniauth-google-oauth2,https://github.com/zquestz/omniauth-google-oauth2,67554089
aws-sdk-applicationautoscaling,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-applicationautoscaling,67402793
aws-sdk-cloudhsmv2,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-cloudhsmv2,67377477
countries,https://github.com/countries/countries,https://github.com/countries/countries,67281221
stackprof,http://github.com/tmm1/stackprof,https://github.com/tmm1/stackprof/tree/v0.2.25,67237350
aws-sdk-workspaces,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-workspaces,67226784
